Id,Company,CPU,RAM,Bus,SSD,HDD,GPU_name,GPU_ram,Screen,resolution,Weight(kg),Price(dong)
793,ACER,Intel Core i7-10750H,8 GB,2933MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080 ,2,29290000
794,ASUS,Intel Core i3-8145U,4 GB,2400 MHz,256,0,On board,0,14, 1920 x 1080 ,1,10290000
795,MSI,Intel Core i5-10300H,8 GB,2666MHz,512,0,NVIDIA GeForce GTX 1660Ti,6,15.6, 1920 x 1080 ,1,27990000
796,ASUS,Intel Core i3-8145U,4 GB,2400 MHz,0,1000,On board,0,14, 1920 x 1080 ,1,11490000
797,ASUS,AMD Ryzen 5-4600H,8 GB,3200MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080 ,2,21990000
798,ASUS,Intel Core i3-8145U,4 GB,2400MHz,0,1000,On board,0,15.6, 1920 x 1080 ,1,10590000
799,ASUS,Intel Core i5-1035G1,4 GB,2666MHz,0,1000,On board,0,14, 1920 x 1080 ,1,13490000
800,ASUS,Intel Core i5-1035G1,4 GB,2666MHz,512,0,NVIDIA GeForce MX330,2,15.6, 1920 x 1080 ,1,15990000
801,ACER,AMD Ryzen 3-3250U,4 GB,2400MHz,512,0,On board,0,15.6, 1920 x 1080 ,1,11090000
802,Dell,Intel Core i3-1005G1,4 GB,2666MHz,256,0,On board,0,14, 1920 x 1080 ,1,10590000
803,Dell,Intel Core i5-1035G1,8 GB,2666MHz,256,0,NVIDIA GeForce MX230,2,15.6, 1920 x 1080 ,1,17990000
804,Dell,Intel Core i3-10110U,4 GB,2666MHz,256,0,On board,0,15.6, 1920 x 1080 ,2,11490000
805,Dell,Intel Core i5-1035G1,8 GB,2666MHz,256,0,On board,0,14, 1920 x 1080 ,1,15890000
806,Lenovo,Intel Core i5-1035G1,8 GB,3200MHz,256,0,On board,0,15.6, 1920 x 1080 ,1,16990000
807,ACER,Intel Core i3-1005G1,4 GB,2400MHz,512,0,On board,0,14, 1920 x 1080 ,1,14190000
